days_june,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2010,2011,2012,2013
30,29.63,30.07,10.45,19.04,17.64,9.77,19.39,23.64,17.6,16.32,16.15,16.38,15.8,16.99,30.35,31.69,28.35,32.07,11.36,18.59,11.03,11.95,18.39,23.75,19.19,14.22,18.41,15.65,18.45,13.67,12.95,3.22,5.14
31,29.95,30.39,10.84,19.17,17.86,10.66,19.82,25.2,17.94,16.74,16.28,16.82,17.66,17.33,30.75,32.15,28.67,32.28,11.67,19.32,11.28,12.26,18.56,24.08,19.38,14.66,19.09,15.84,19.17,14.12,13.64,3.39,5.75
32,30.46,30.75,11.22,19.44,18.51,11.27,20.41,25.98,18.47,17.04,16.38,17.11,19.24,17.71,31.02,32.61,28.95,32.58,12.16,20.61,11.5,12.59,18.74,24.3,19.65,15.24,19.72,16.55,19.48,14.4,14.04,3.54,6.22
33,31.35,30.84,11.5,20.06,18.76,12.26,20.85,26.11,18.78,17.22,16.46,17.44,19.95,18.29,31.47,33.21,29.38,32.84,12.65,21.5,11.74,12.89,19.09,24.49,19.74,15.68,20.2,17.06,19.94,14.68,14.3,4.05,6.42
34,32.1,31.02,11.9,20.35,19.51,13.11,20.98,26.66,18.91,17.39,16.6,17.88,20.8,18.47,31.65,33.56,29.66,33.25,12.86,21.75,12.26,13.27,19.32,24.88,19.9,16.04,20.49,17.52,20.23,15.28,14.5,4.6,6.54
35,32.48,31.73,12.19,20.41,20.46,13.49,21.07,27.18,19.08,17.64,16.7,18.07,21.66,18.95,31.83,33.84,29.85,33.8,13.47,21.91,12.54,13.75,19.54,25.16,20.22,16.36,20.7,17.82,20.58,15.86,14.67,5.03,6.61
36,33.13,32.28,12.31,20.59,20.75,13.74,21.27,27.93,19.12,17.9,16.8,18.32,22.04,19.16,32.37,33.94,29.96,34.11,14.16,22.25,12.74,14.13,19.74,25.47,20.39,16.59,20.85,18.01,21.22,16.62,14.81,5.29,6.71
37,33.4,32.34,12.66,20.71,21.22,14.5,21.37,29.07,19.17,18.01,16.91,18.46,22.25,19.29,32.79,33.95,30.09,34.54,14.75,22.95,12.79,14.48,19.9,25.63,20.6,16.87,21.05,18.29,21.63,17.05,14.97,5.57,6.75
38,33.47,32.4,12.76,20.76,21.43,16.03,21.47,29.85,19.22,18.12,17.06,18.8,22.68,19.4,33.13,34.06,30.24,34.71,15.28,23.36,12.97,14.69,20.03,25.73,20.75,17.11,21.21,18.67,21.8,17.33,15.04,6.12,6.83
39,33.53,32.58,12.84,20.84,21.6,16.9,21.74,30.54,19.25,18.27,17.28,19.08,22.97,19.51,33.43,34.12,30.39,34.87,15.84,23.49,13.28,14.89,20.06,25.88,20.9,17.2,21.35,18.89,21.91,17.59,15.09,6.44,6.94
40,33.55,32.6,13.01,20.9,21.62,17.28,21.8,31,19.28,18.36,17.41,19.17,23.16,19.59,33.7,34.17,30.46,35.09,16.03,23.78,13.51,15,20.14,26.3,20.94,17.31,21.41,18.98,22.07,17.75,15.14,6.54,7.03
41,33.59,32.66,13.09,21.13,21.71,17.7,21.83,31.18,19.29,18.39,17.48,19.23,23.38,19.61,33.97,34.27,30.55,35.17,16.2,23.94,13.66,15.08,20.16,26.48,20.99,17.46,21.57,19.08,22.12,18.09,15.16,6.65,7.19
42,33.65,32.69,13.24,21.25,21.73,17.86,21.94,31.3,19.36,18.48,17.56,19.31,23.67,19.68,34.13,34.29,30.62,35.31,16.41,23.96,13.72,15.12,20.2,26.61,21.03,17.52,21.62,19.18,22.14,18.38,15.21,6.81,7.3
43,33.72,32.71,13.32,21.36,21.79,18.09,22.05,31.33,19.43,18.55,17.73,19.36,24.12,19.72,34.32,34.31,30.64,35.38,16.57,24.1,13.75,15.16,20.22,26.77,21.06,17.52,21.65,19.19,22.2,18.55,15.24,6.88,7.34
44,33.79,32.72,13.34,21.42,21.85,18.27,22.16,31.35,19.47,18.57,17.92,19.4,24.34,19.81,34.35,34.35,30.7,35.43,16.63,24.18,13.79,15.19,20.23,26.96,21.12,17.55,21.73,19.19,22.23,18.61,15.28,6.94,7.38
45,33.8,32.74,13.37,21.5,21.86,18.27,22.19,31.41,19.48,18.66,17.97,19.43,24.53,19.83,34.4,34.39,30.74,35.56,16.78,24.24,14.12,15.23,20.23,27.05,21.16,17.6,21.81,19.21,22.27,18.67,15.28,7.1,7.38
